ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus
ASV_17579,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
ASV_1758,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Eremococcus
ASV_17580,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV_17583,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
ASV_17585,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA
ASV_17586,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rugamonas
ASV_17596,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriales_Incertae_Sedis,NA
ASV_17598,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azorhizophilus
ASV_17599,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
ASV_176,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV_17602,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Aquaspirillaceae,Microvirgula
ASV_17603,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
ASV_17608,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,endosymbionts8
ASV_1761,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV_17612,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV_17621,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Gallicola
ASV_17623,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,NA
ASV_17625,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,NA
ASV_17626,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
ASV_17630,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
ASV_1764,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
ASV_17642,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,NA
ASV_17643,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA
ASV_17644,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV_17647,Bacteria,Acidobacteria,Blastocatellia_(Subgroup_4),Nov/24,NA,NA
ASV_17651,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18_freshwater_group
ASV_17662,Bacteria,Firmicutes,NA,NA,NA,NA
ASV_17663,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,NA
ASV_17664,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paenirhodobacter
ASV_17669,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azorhizophilus
